"","GEOID","NAME","NAMELSAD","State_Name","Elev_mean_m","Elev_cell_count","County_center_Long","County_center_Lat"
"233","21097","Harrison","Harrison County","Kentucky",244,4770,-96.7873997260689,41.9163237828574
"234","23023","Sagadahoc","Sagadahoc County","Maine",27,6191,-96.7873997260689,41.9163237828574
"235","30097","Sweet Grass","Sweet Grass County","Montana",1712,32104,-96.7873997260689,41.9163237828574
"236","48181","Grayson","Grayson County","Texas",215,14185,-96.7873997260689,41.9163237828574
"237","42059","Greene","Greene County","Pennsylvania",364,9021,-96.7873997260689,41.9163237828574
"238","20051","Ellis","Ellis County","Kansas",621,13854,-96.7873997260689,41.9163237828574
"239","01065","Hale","Hale County","Alabama",62,9430,-96.7873997260689,41.9163237828574
"240","01105","Perry","Perry County","Alabama",84,10375,-96.7873997260689,41.9163237828574
"241","01033","Colbert","Colbert County","Alabama",181,9149,-96.7873997260689,41.9163237828574
"242","20151","Pratt","Pratt County","Kansas",586,11261,-96.7873997260689,41.9163237828574
"243","21017","Bourbon","Bourbon County","Kentucky",270,4474,-96.7873997260689,41.9163237828574
"244","47149","Rutherford","Rutherford County","Tennessee",207,9287,-96.7873997260689,41.9163237828574
"245","13075","Cook","Cook County","Georgia",69,3292,-96.7873997260689,41.9163237828574
"246","20101","Lane","Lane County","Kansas",840,11014,-96.7873997260689,41.9163237828574
"247","40059","Harper","Harper County","Oklahoma",604,15654,-96.7873997260689,41.9163237828574
"248","17147","Piatt","Piatt County","Illinois",211,6861,-96.7873997260689,41.9163237828574
"249","48107","Crosby","Crosby County","Texas",890,13048,-96.7873997260689,41.9163237828574
"250","01063","Greene","Greene County","Alabama",51,9498,-96.7873997260689,41.9163237828574
"251","16033","Clark","Clark County","Idaho",1964,29710,-96.7873997260689,41.9163237828574
"252","19109","Kossuth","Kossuth County","Iowa",357,16245,-96.7873997260689,41.9163237828574
"253","38013","Burke","Burke County","North Dakota",641,20485,-96.7873997260689,41.9163237828574
"254","37063","Durham","Durham County","North Carolina",112,4443,-96.7873997260689,41.9163237828574
"255","19085","Harrison","Harrison County","Iowa",353,11369,-96.7873997260689,41.9163237828574
"256","31103","Keya Paha","Keya Paha County","Nebraska",690,12714,-96.7873997260689,41.9163237828574
"257","19187","Webster","Webster County","Iowa",342,11689,-96.7873997260689,41.9163237828574
"258","17151","Pope","Pope County","Illinois",153,5667,-96.7873997260689,41.9163237828574
"259","47159","Smith","Smith County","Tennessee",205,4867,-96.7873997260689,41.9163237828574
"260","51089","Henry","Henry County","Virginia",280,5759,-96.7873997260689,41.9163237828574
"261","51510","Alexandria","Alexandria city","Virginia",32,240,-96.7873997260689,41.9163237828574
"262","19101","Jefferson","Jefferson County","Iowa",222,6991,-96.7873997260689,41.9163237828574
"263","30049","Lewis and Clark","Lewis and Clark County","Montana",1626,61902,-96.7873997260689,41.9163237828574
"264","49013","Duchesne","Duchesne County","Utah",2367,51384,-96.7873997260689,41.9163237828574
"265","40003","Alfalfa","Alfalfa County","Oklahoma",385,13197,-96.7873997260689,41.9163237828574
"266","48119","Delta","Delta County","Texas",137,4032,-96.7873997260689,41.9163237828574
"267","47169","Trousdale","Trousdale County","Tennessee",187,1748,-96.7873997260689,41.9163237828574
"268","21193","Perry","Perry County","Kentucky",395,5190,-96.7873997260689,41.9163237828574
"269","46039","Deuel","Deuel County","South Dakota",539,10795,-96.7873997260689,41.9163237828574
"270","41029","Jackson","Jackson County","Oregon",963,45791,-96.7873997260689,41.9163237828574
"271","48507","Zavala","Zavala County","Texas",210,17945,-96.7873997260689,41.9163237828574
"272","31007","Banner","Banner County","Nebraska",1417,11972,-96.7873997260689,41.9163237828574
"273","19121","Madison","Madison County","Iowa",324,8985,-96.7873997260689,41.9163237828574
"274","12011","Broward","Broward County","Florida",2,17693,-96.7873997260689,41.9163237828574
"275","13279","Toombs","Toombs County","Georgia",53,5285,-96.7873997260689,41.9163237828574
"276","26151","Sanilac","Sanilac County","Michigan",210,26361,-96.7873997260689,41.9163237828574
"277","48397","Rockwall","Rockwall County","Texas",157,2120,-96.7873997260689,41.9163237828574
"278","26163","Wayne","Wayne County","Michigan",192,10974,-96.7873997260689,41.9163237828574
"279","27105","Nobles","Nobles County","Minnesota",486,12001,-96.7873997260689,41.9163237828574
"280","27001","Aitkin","Aitkin County","Minnesota",385,34928,-96.7873997260689,41.9163237828574
"281","38071","Ramsey","Ramsey County","North Dakota",453,23455,-96.7873997260689,41.9163237828574
"282","37145","Person","Person County","North Carolina",169,6098,-96.7873997260689,41.9163237828574
"283","20195","Trego","Trego County","Kansas",712,13864,-96.7873997260689,41.9163237828574
"284","28151","Washington","Washington County","Mississippi",33,11018,-96.7873997260689,41.9163237828574
"285","48133","Eastland","Eastland County","Texas",462,13308,-96.7873997260689,41.9163237828574
"286","28055","Issaquena","Issaquena County","Mississippi",27,6312,-96.7873997260689,41.9163237828574
"287","48123","DeWitt","DeWitt County","Texas",84,12585,-96.7873997260689,41.9163237828574
"288","48005","Angelina","Angelina County","Texas",68,12216,-96.7873997260689,41.9163237828574
"289","45081","Saluda","Saluda County","South Carolina",147,6718,-96.7873997260689,41.9163237828574
"290","29125","Maries","Maries County","Missouri",271,8145,-96.7873997260689,41.9163237828574
"291","05001","Arkansas","Arkansas County","Arkansas",55,15166,-96.7873997260689,41.9163237828574
"292","29109","Lawrence","Lawrence County","Missouri",379,9268,-96.7873997260689,41.9163237828574
"293","51540","Charlottesville","Charlottesville city","Virginia",134,155,-96.7873997260689,41.9163237828574
"294","17011","Bureau","Bureau County","Illinois",213,14055,-96.7873997260689,41.9163237828574
"295","39145","Scioto","Scioto County","Ohio",239,9535,-96.7873997260689,41.9163237828574
"296","37115","Madison","Madison County","North Carolina",812,6715,-96.7873997260689,41.9163237828574
"297","16053","Jerome","Jerome County","Idaho",1215,9952,-96.7873997260689,41.9163237828574
"298","39163","Vinton","Vinton County","Ohio",253,6458,-96.7873997260689,41.9163237828574
"299","48309","McLennan","McLennan County","Texas",172,15021,-96.7873997260689,41.9163237828574
"300","16037","Custer","Custer County","Idaho",2312,83035,-96.7873997260689,41.9163237828574
"301","19089","Howard","Howard County","Iowa",381,7833,-96.7873997260689,41.9163237828574
"302","12099","Palm Beach","Palm Beach County","Florida",3,32153,-96.7873997260689,41.9163237828574
