time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2006.92,362,0.320087,0.034992,0.077292,0.232328,0.120408,0.073637,0.022624,0.713539,0.621762,,
2004.92,336,0.320163,0.041509,0.081394,0.164299,0.005255,0.007815,0.007964,0.010773,0.007178,,
2004.58,223,0.32112,0.002905,0.154036,0.45338,0.232266,0.690931,0.875854,1.711875,0.741088,,
2006.92,361,0.32131,0.035065,0.076841,0.231648,0.120144,0.073629,0.022408,0.713474,0.62173,,
2004.67,268,0.321761,-0.151026,0.133287,0.335881,0.058194,0.091483,0.101581,1.716756,0.744117,,
2006.92,360,0.322495,0.034943,0.076515,0.230962,0.119917,0.07376,0.022068,0.713408,0.621697,,
2006.75,286,0.323329,-0.005249,0.108821,0.280008,0.054068,0.041193,0.048122,0.707273,0.618737,,
2006.67,254,0.323414,0.002877,0.042825,0.056899,0.089695,0.168411,0.250941,0.760311,0.649111,,
2006.92,359,0.323794,0.034822,0.076194,0.230284,0.119693,0.073927,0.021705,0.713343,0.621666,,
2015.42,172,0.324898,-0.003411,0.091577,0.209221,0.204979,0.199237,0.118537,0.124636,0.07072,,
2006.92,358,0.325162,0.034703,0.075874,0.229612,0.119462,0.074143,0.021316,0.713279,0.621634,,
2017.58,234,0.325789,0.103224,0.131791,0.283572,0.240823,0.241749,0.184656,0.251325,0.179356,,
2006.92,357,0.326544,0.034583,0.075554,0.228937,0.119212,0.074419,0.020895,0.713215,0.621602,,
2006.92,356,0.327956,0.034463,0.075234,0.228263,0.118941,0.074769,0.020436,0.71315,0.62157,,
2006.92,355,0.329425,0.043993,0.159267,0.408743,0.059469,0.03376,0.020121,0.713086,0.621538,,
2019.42,180,0.329566,-0.326945,0.090292,0.325631,0.423552,0.536329,0.445547,0.509631,0.297219,,
2006.92,354,0.33089,0.043863,0.168437,0.410217,0.057238,0.03336,0.020051,0.713016,0.621504,,
2006.75,285,0.331238,0.000083,0.113641,0.293434,0.056452,0.042607,0.050253,0.707283,0.618731,,
2004.75,281,0.331934,0.001317,0.057599,0.133467,0.055094,0.037382,0.019195,0.036941,0.039373,,
2006.92,353,0.332445,0.043813,0.177414,0.420902,0.049957,0.03268,0.019983,0.713007,0.621522,,
2006.92,352,0.334002,0.043702,0.19275,0.421887,0.04502,0.032412,0.019917,0.71299,0.621533,,
2019.42,179,0.335127,-0.321987,0.094674,0.341434,0.444106,0.536329,0.445547,0.509655,0.297208,,
2006.92,351,0.335543,0.045122,0.195982,0.421925,0.043251,0.032231,0.019853,0.712927,0.621502,,
2015.42,171,0.336493,-0.000922,0.095516,0.21822,0.204979,0.199237,0.118538,0.124641,0.070718,,
2006.92,350,0.337091,0.045001,0.19566,0.421246,0.042946,0.032046,0.019789,0.712863,0.62147,,
2006.92,349,0.338645,0.04488,0.195337,0.420564,0.042639,0.03186,0.019723,0.712797,0.621438,,
2004.67,267,0.338977,-0.11127,0.146522,0.366209,0.062645,0.098918,0.110337,1.716756,0.744117,,
2006.92,348,0.340206,0.044758,0.195012,0.419879,0.042331,0.031673,0.019658,0.712732,0.621406,,
2006.75,284,0.341239,0.000961,0.121306,0.312654,0.059333,0.044384,0.053265,0.707251,0.618703,,
2006.92,347,0.341774,0.044635,0.194685,0.419191,0.042021,0.031486,0.019592,0.712666,0.621374,,
2021.42,177,0.34225,-0.121553,0.088575,0.105932,0.137591,0.18286,0.211431,0.334738,0.254877,,
