"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha"
"RothC","3","53","3_53",NA,NA,NA,"-0.6066",NA,NA,NA,NA,"20.4777"
"APSIM","3","61","3_61","-1.30564848484848","0.000933333333349218","0.296913131313133","1.3","6.35844","0.115030758620689",NA,NA,"38.1"
"APSIM","3","62","3_62","-1.28409696969696","-0.00124444444442817","0.318012121212124","0.399999999999999","6.02169","0.115292827586207",NA,NA,"48"
"APSIM","3","63","3_63","-1.27346262626261","-0.00171111111109434","0.328703030303032","-0.400000000000006","5.75143","0.112574206896553",NA,NA,"57.8"
"APSIM","3","64","3_64","-1.26876767676767","-0.0015555555555391","0.334981818181824","-1.2","5.55521","0.111383310344829",NA,NA,"67.2"
"APSIM","3","65","3_65","-1.26520404040403","-0.00108888888887471","0.347256565656572","-1.90000000000001","5.39731","0.111063586206897",NA,NA,"76.8"
"APSIM","4","1","4_1","-1.62694141414141","-0.578355555555596","0.551062626262627","2.3","6.97919","-0.00934289655172119",NA,NA,"28.3"
"Daycent","4","1","4_1","-1.1556630123457","-0.953765037037073","-0.178796938271605","0.800000000000001","26.6595438","-0.122567497931026","-24.0744762","-0.08771927126433","26.7"
"Millennial","4","1","4_1",NA,NA,NA,"-9.3972366355944",NA,NA,NA,NA,"56.2514630394864"
"RothC","4","1","4_1",NA,NA,NA,"-1.4443",NA,NA,NA,NA,"19.6401"
"APSIM","4","2","4_2","-1.5368888888889","-1.12108888888895","0.663232323232322","2","6.96363","-0.0210204137931002",NA,NA,"30.2"
"Daycent","4","2","4_2","-0.99430696296298","-0.996848049382749","0.0143418765432095","2.7","19.6009296","-0.106519256551717","-88.4740774","-0.410074796168545","33.7"
"Millennial","4","2","4_2",NA,NA,NA,"-3.1541995144167",NA,NA,NA,NA,"62.4253263505833"
"RothC","4","2","4_2",NA,NA,NA,"-1.1644",NA,NA,NA,NA,"24.8794"
"APSIM","4","3","4_3","-0.99299139784948","-0.40148888888891","0.322424242424244","0.699999999999999","2.74756","-0.0352154482758601",NA,NA,"26.9"
"Daycent","4","3","4_3","-0.88962706172839","-0.627267407407437","-0.173670864197529","-1.6","20.8093302","-0.0367114427586148","-16.8626386","-0.0246209042145447","26.4"
"Millennial","4","3","4_3",NA,NA,NA,"-1.0262813167806",NA,NA,NA,NA,"69.423400064925"
"RothC","4","3","4_3",NA,NA,NA,"-1.2036",NA,NA,NA,NA,"25.9793"
"APSIM","4","41","4_41","-1.62671515151516","-0.578355555555596","0.576234343434351","2.3","6.62963","-0.00598593103447981",NA,NA,"28.3"
"Daycent","4","41","4_41","-1.05479312233447","-0.955020543209912","-0.190994222222223","0.600000000000001","25.6720829","-0.125710822068959","-24.2782936","-0.0878160804597347","26.5"
"Millennial","4","41","4_41",NA,NA,NA,"-9.76040014773079",NA,NA,NA,NA,"55.88829952735"
"RothC","4","41","4_41",NA,NA,NA,"-1.5154",NA,NA,NA,NA,"19.569"
"APSIM","4","42","4_42","-1.6264888888889","-0.578355555555596","0.586472727272728","2.1","6.00785","0.000981379310347696",NA,NA,"28.1"
"Daycent","4","42","4_42","-0.970466549943907","-0.957427160493864","-0.215328987654321","0.300000000000001","23.6934757","-0.131314314482752","-24.4833613","-0.0936395279693188","26.2"
