year,date,Obs_sd,treatment_scen,Model,mb_val
2003,12282,NA,Continuous Crop,Observed,NA
2003,12282,NA,Continuous Crop,Millennial,0.445958478
2003,12283,NA,Continuous Crop,Observed,NA
2003,12283,NA,Continuous Crop,Millennial,0.442777787
2003,12284,NA,Continuous Crop,Observed,NA
2003,12284,NA,Continuous Crop,Millennial,0.439472363
2003,12285,NA,Continuous Crop,Observed,NA
2003,12285,NA,Continuous Crop,Millennial,0.436089281
2003,12286,NA,Continuous Crop,Observed,NA
2003,12286,NA,Continuous Crop,Millennial,0.432404627
2003,12287,NA,Continuous Crop,Observed,NA
2003,12287,NA,Continuous Crop,Millennial,0.428949078
2003,12288,NA,Continuous Crop,Observed,NA
2003,12288,NA,Continuous Crop,Millennial,0.426071866
2003,12289,NA,Continuous Crop,Observed,NA
2003,12289,NA,Continuous Crop,Millennial,0.423472033
2003,12290,NA,Continuous Crop,Observed,NA
2003,12290,NA,Continuous Crop,Millennial,0.420989145
2003,12291,NA,Continuous Crop,Observed,NA
2003,12291,NA,Continuous Crop,Millennial,0.418541294
2003,12292,NA,Continuous Crop,Observed,NA
2003,12292,NA,Continuous Crop,Millennial,0.41589387
2003,12293,NA,Continuous Crop,Observed,NA
2003,12293,NA,Continuous Crop,Millennial,0.413196417
2003,12294,NA,Continuous Crop,Observed,NA
2003,12294,NA,Continuous Crop,Millennial,0.411257401
2003,12295,NA,Continuous Crop,Observed,NA
2003,12295,NA,Continuous Crop,Millennial,0.410480671
2003,12296,NA,Continuous Crop,Observed,NA
2003,12296,NA,Continuous Crop,Millennial,0.410301411
2003,12297,NA,Continuous Crop,Observed,NA
2003,12297,NA,Continuous Crop,Millennial,0.410311126
2003,12298,NA,Continuous Crop,Observed,NA
2003,12298,NA,Continuous Crop,Millennial,0.410457042
2003,12299,NA,Continuous Crop,Observed,NA
2003,12299,NA,Continuous Crop,Millennial,0.410639405
2003,12300,NA,Continuous Crop,Observed,NA
2003,12300,NA,Continuous Crop,Millennial,0.410804617
2003,12301,NA,Continuous Crop,Observed,NA
2003,12301,NA,Continuous Crop,Millennial,0.410881658
2003,12302,NA,Continuous Crop,Observed,NA
2003,12302,NA,Continuous Crop,Millennial,0.410883373
2003,12303,NA,Continuous Crop,Observed,NA
