"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"Millennial",1,44,"1_44",NA,NA,NA,-1.3801067466405,12.69309335,NA,-2.444161,NA,43.6961957045507,NA,NA,0.01269309335,-0.002444161,5.0603914043485,5.44533704715,-0.087989796,"RF35-CR",10.4177386554985
"RothC",1,44,"1_44",NA,NA,NA,-0.0593500000000002,12.69309335,NA,-2.444161,NA,6.65935,NA,NA,0.01269309335,-0.002444161,0.217616666666667,5.44533704715,-0.087989796,"RF35-CR",5.57496391781667
"APSIM",1,51,"1_51",NA,NA,NA,0,12.2491,0.0421969655172402,-9.07816,NA,4.3,0.156105263157885,-0.543701920614637,0.0122491,-0.00907816,0,5.2548639,-0.32681376,"RR50-CR",4.92805014
"Millennial",1,51,"1_51",NA,NA,NA,-1.05037583081599,11.60479065,NA,-9.07816,NA,43.5295110010065,NA,NA,0.01160479065,-0.00907816,3.8513780463253,4.97845518885,-0.32681376,"RR50-CR",8.5030194751753
"RothC",1,51,"1_51",NA,NA,NA,0.0401500000000006,11.60479065,NA,-9.07816,NA,6.6359,NA,NA,0.01160479065,-0.00907816,-0.147216666666669,4.97845518885,-0.32681376,"RR50-CR",4.50442476218333
"APSIM",1,52,"1_52",NA,NA,NA,0,14.93302,0.0538042758620668,-2.4283598,NA,5.3,0.267476923076938,-0.559272215108876,0.01493302,-0.0024283598,0,6.40626558,-0.0874209528,"RR25-CR",6.3188446272
"Millennial",1,52,"1_52",NA,NA,NA,-0.957447704197001,12.88512715,NA,-2.4283598,NA,43.8638339506604,NA,NA,0.01288512715,-0.0024283598,3.51064158205567,5.52771954735,-0.0874209528,"RR25-CR",8.95094017660567
"RothC",1,52,"1_52",NA,NA,NA,0.1135,12.88512715,NA,-2.4283598,NA,6.7708,NA,NA,0.01288512715,-0.0024283598,-0.416166666666667,5.52771954735,-0.0874209528,"RR25-CR",5.02413192788333
"APSIM",1,53,"1_53",NA,NA,NA,-0.0999999999999996,18.37838,0.0776962758620666,6.1839158,NA,6.4,0.384553846153864,-0.568034314980828,0.01837838,0.0061839158,0.366666666666665,7.88432502,0.2226209688,"RR00-CR",8.47361265546667
"Millennial",1,53,"1_53",NA,NA,NA,0.0653511609551956,14.8010356,NA,6.1839158,NA,45.1416536121464,NA,NA,0.0148010356,0.0061839158,-0.239620923502384,6.3496442724,0.2226209688,"RR00-CR",6.33264431769762
