"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"APSIM",1,65,"1_65",NA,NA,NA,"-3.9","3.31511","0.00149006896551664",NA,NA,"26.3","-0.17819999999999","0.584338461538447"
"APSIM",1,7,"1_7",NA,NA,NA,"0.4","4.46176","-0.0029355862068985",NA,NA,"7.5","-0.135875862068977",NA
"Millennial",1,7,"1_7",NA,NA,NA,"-4.6755938250379",NA,NA,NA,NA,"37.9345485761505",NA,NA
"RothC",1,7,"1_7",NA,NA,NA,"-0.41535",NA,NA,NA,NA,"5.78835",NA,NA
"APSIM",1,8,"1_8",NA,NA,NA,"0.2","4.72122","0.0166217931034482",NA,NA,"7.3","-0.126949999999993","0.460598086124403"
"Millennial",1,8,"1_8",NA,NA,NA,"-2.4047412817403",NA,NA,NA,NA,"38.1324720038799",NA,NA
"RothC",1,8,"1_8",NA,NA,NA,"-0.27695",NA,NA,NA,NA,"6.0962",NA,NA
"APSIM",2,3,"2_3",NA,NA,NA,"-0.2","4.30159","-0.0198602758620685",NA,NA,"6.1","-0.139550000000009","-0.129969230769237"
"Millennial",2,3,"2_3",NA,NA,NA,"-1.9684374475456",NA,NA,NA,NA,"40.7612075237532",NA,NA
"RothC",2,3,"2_3",NA,NA,NA,"-0.104500000000001",NA,NA,NA,NA,"4.98265",NA,NA
"APSIM",2,41,"2_41",NA,NA,NA,"-0.100000000000001","2.92175","-0.0160449655172405",NA,NA,"5.8","-0.0609500000000075","-0.0573846153846209"
"Millennial",2,41,"2_41",NA,NA,NA,"-4.7280463972986",NA,NA,NA,NA,"37.9634208014317",NA,NA
"RothC",2,41,"2_41",NA,NA,NA,"-0.63235",NA,NA,NA,NA,"3.7251",NA,NA
"APSIM",2,42,"2_42",NA,NA,NA,"0","2.80454","-0.0143238620689647",NA,NA,"5.8","-0.0783500000000075","-0.0581538461538518"
"Millennial",2,42,"2_42",NA,NA,NA,"-4.83069911029249",NA,NA,NA,NA,"37.8607680884378",NA,NA
"RothC",2,42,"2_42",NA,NA,NA,"-0.6575",NA,NA,NA,NA,"3.7",NA,NA
"APSIM",2,43,"2_43",NA,NA,NA,"-0.0999999999999996","2.68736","-0.0141765517241372",NA,NA,"5.7","-0.096300000000007","-0.0410461538461584"
"Millennial",2,43,"2_43",NA,NA,NA,"-4.9261246462824",NA,NA,NA,NA,"37.7653425524479",NA,NA
"RothC",2,43,"2_43",NA,NA,NA,"-0.68245",NA,NA,NA,NA,"3.675",NA,NA
"APSIM",2,44,"2_44",NA,NA,NA,"-0.2","2.5675","-0.0145904827586201",NA,NA,"5.6","-0.130200000000006","-0.0197230769230812"
"Millennial",2,44,"2_44",NA,NA,NA,"-5.01054078183449",NA,NA,NA,NA,"37.6809264168958",NA,NA
"RothC",2,44,"2_44",NA,NA,NA,"-0.70805",NA,NA,NA,NA,"3.6493",NA,NA
"Millennial",2,51,"2_51",NA,NA,NA,"-3.6536933597604",NA,NA,NA,NA,"38.8208687298455",NA,NA
"RothC",2,51,"2_51",NA,NA,NA,"-0.70285",NA,NA,NA,NA,"3.5794",NA,NA
"Millennial",2,52,"2_52",NA,NA,NA,"-4.27640207776511",NA,NA,NA,NA,"38.3107585915622",NA,NA
"RothC",2,52,"2_52",NA,NA,NA,"-0.67245",NA,NA,NA,NA,"3.6471",NA,NA
"Millennial",2,53,"2_53",NA,NA,NA,"-4.67260927132939",NA,NA,NA,NA,"38.0188579274009",NA,NA
"RothC",2,53,"2_53",NA,NA,NA,"-0.61955",NA,NA,NA,NA,"3.73785",NA,NA
"Millennial",2,54,"2_54",NA,NA,NA,"-4.4852121732035",NA,NA,NA,NA,"35.8930983703903",NA,NA
"RothC",2,54,"2_54",NA,NA,NA,"-0.46275",NA,NA,NA,NA,"4.1618",NA,NA
"Millennial",2,55,"2_55",NA,NA,NA,"-4.6062450356748",NA,NA,NA,NA,"35.3594107282782",NA,NA
"RothC",2,55,"2_55",NA,NA,NA,"-0.4555",NA,NA,NA,NA,"4.1702",NA,NA
"Millennial",2,56,"2_56",NA,NA,NA,"-4.5706900238348",NA,NA,NA,NA,"35.1606236155355",NA,NA
"RothC",2,56,"2_56",NA,NA,NA,"-0.44935",NA,NA,NA,NA,"4.17755",NA,NA
"APSIM",2,61,"2_61",NA,NA,NA,"-0.9","3.01528","-0.0176691034482749",NA,NA,"9.9","0.0201499999999909","-0.0162153846153903"
"APSIM",2,62,"2_62",NA,NA,NA,"-1.6","3.02421","-0.0233966896551714",NA,NA,"14","0.00859999999999173","0.0829846153846094"
"APSIM",2,63,"2_63",NA,NA,NA,"-2.2","3.03595","-0.0280297931034472",NA,NA,"18.1","-0.0166500000000072","0.10652307692307"
"APSIM",2,64,"2_64",NA,NA,NA,"-2.9","3.05216","-0.0316342068965508",NA,NA,"22.2","0.00709999999999256","0.12932307692307"
"APSIM",2,65,"2_65",NA,NA,NA,"-3.8","2.97052","-0.0227347586206894",NA,NA,"26.3","0.101799999999993","0.177107692307682"
"APSIM",2,7,"2_7",NA,NA,NA,"-0.2","4.15402","-0.0298230344827587",NA,NA,"7","-0.343544827586195",NA
"Millennial",2,7,"2_7",NA,NA,NA,"-5.2666017393897",NA,NA,NA,NA,"37.3435406617987",NA,NA
"RothC",2,7,"2_7",NA,NA,NA,"-0.619499999999999",NA,NA,NA,NA,"3.72365",NA,NA
"APSIM",2,8,"2_8",NA,NA,NA,"-0.3","4.50193","-0.0122074482758615",NA,NA,"6.9","-0.173500000000009","-0.159200000000006"
"Millennial",2,8,"2_8",NA,NA,NA,"-2.8700516886115",NA,NA,NA,NA,"37.6671615970087",NA,NA
"RothC",2,8,"2_8",NA,NA,NA,"-0.19535",NA,NA,NA,NA,"4.71665",NA,NA
"APSIM",3,3,"3_3",NA,NA,NA,"0.0999999999999996","4.2508","-0.0014853793103452",NA,NA,"6.5","-0.181099999999992","0.312215384615384"
"Millennial",3,3,"3_3",NA,NA,NA,"1.1338984111142",NA,NA,NA,NA,"43.863543382413",NA,NA
"RothC",3,3,"3_3",NA,NA,NA,"-0.0747499999999999",NA,NA,NA,NA,"5.00575",NA,NA
